1,sip:10.10.151.11:5060,mb=28,2,GSM
1,sip:10.10.151.12:5060,mb=24,2,GSM
1,sip:10.10.97.25:5060,vn=10,2,GSM
1,sip:10.10.94.24:5060,vn=25,2,GSM
1,sip:10.10.92.23:5060,vn=32,2,GSM
1,sip:10.10.92.37:5060,vn=20,2,GSM
1,sip:10.10.88.17:5060,vn=20,2,GSM
0,sip:10.10.92.13:5060,vt=32,2,GSM
1,sip:10.10.94.20:5060,vt=32,2,GSM
1,sip:10.10.88.12:5060,vt=20,2,GSM
1,sip:10.10.88.14:5060,vt=20,2,GSM
0,sip:10.10.94.105:5060,vn=20,0,SIP-VINA
0,sip:10.10.94.105:5060,vn=20,0,SIP-VINA
0,sip:10.10.94.105:5060,vn=20,0,SIP-VINA
0,sip:10.10.94.105:5060,vn=30,0,SIP-VINA
1,sip:173.200.200.2:5060,ib=500,2,INBOUND
2,sip:10.10.92.121:5080,mb=96,0,SIP-MOBI
1,sip:10.10.97.25:5060,other=15,2,GSM_VNMB
1,sip:10.10.92.150:5060,mb=30,0,SIP-mobi
1,sip:10.10.92.150:5060,mb=30,0,sip-mobi
1,sip:10.10.92.150:5060,mb=30,0,sip-mobi
1,sip:10.10.92.150:5060,mb=30,0,sip-mobi
1,sip:10.10.92.150:5060,mb=30,0,sip-mobi
1,sip:10.10.92.150:5060,mb=30,0,sip-mobi
1,sip:10.10.92.150:5060,mb=30,0,sip-mobi
1,sip:10.10.92.121:5060,vt=30,0,SIP-VTEL
1,sip:10.10.92.121:5060,vt=30,0,SIP-VTEL
1,sip:10.10.92.121:5060,vt=30,0,SIP-VTEL
1,sip:10.10.92.121:5060,vt=30,0,SIP-VTEL
1,sip:10.10.92.121:5060,vt=30,0,SIP-VTEL
1,sip:10.10.92.121:5060,vt=30,0,SIP-VTEL
1,sip:10.10.92.121:5060,vt=30,0,SIP-VTEL
1,sip:10.10.92.149:5060,vt=30,0,SIP-VTEL
1,sip:10.10.92.149:5060,vt=30,0,SIP-VTEL
1,sip:10.10.92.149:5060,vt=30,0,SIP-VTEL
1,sip:10.10.92.149:5060,vt=30,0,SIP-VTEL
1,sip:10.10.92.149:5060,vt=30,0,SIP-VTEL
1,sip:10.10.92.149:5060,vt=30,0,SIP-VTEL
1,sip:10.10.92.149:5060,vt=20,0,SIP-VTEL
